name,num,units,fall,spring,prereqs,coreqs
Financial Computing I,46901,6,1,0,[],[]
Global Electronic Markets: Economics and the Internet,73469,9,1,0,"[[21120, 21256, 73100, 73230], [21120, 21259, 73100, 73230]]",[]
Process and Project Mangement,96782,12,0,1,[],[]
Policies of Wireless Systems and the Internet,19713,12,1,0,[],[]
"Global Competitiveness: Firms, Nations, and Technological Change",19711,12,1,0,[],[]
Special Topics: Environmental Regulation and Manmade Nanomaterials,19710,6,1,0,[],[]
Introduction to Sustainable Engineering,19717,12,1,0,[],[]
"Special Topics Science and Technology Policy, Analysis and Processes",19716,6,0,0,[],[]
Independent Study in Economics,73395,1,0,1,"[[21120, 21256, 73100, 73230, 73240], [21120, 21259, 73100, 73230, 73240]]",[]
Environmental Life Cycle Assessment,19714,12,0,1,"[[12411], [12706]]",[]
Topics in Judgment and Decision Making,88719,6,1,0,[],[]
Introduction to Costume Design,54162,6,0,1,"[[54171], [54172]]",[]
BXA Capstone Project,62401,9,1,0,[],[]
Secondary Studio,57207,3,1,0,[],[]
E-business Management: A Strategic Perspective,95741,6,0,1,[],[]
Major Works of Modern Poetry:,76376,9,1,0,[],[]
Service Operations Management,70476,9,0,1,"[[36202, 70371], [36208, 70371], [70208, 70371]]",[]
Independent Teaching Experience,5982,9,1,1,[],[]
Industrial Design Fundamentals,51264,9,0,1,[],[]
Communication Design Fundamentals,51262,9,0,1,[],[]
Communication Design Fundamentals,51261,9,1,1,[],[]
Research Training: Modern Language,82198,3,1,1,[],[]
Digital Transformation                   e,92879,6,0,1,[],[]
Viola Studio Performance Class,57016,0,1,1,[],[]
Elementary Russian I,82191,12,1,0,[],[]
Advanced Fluid Mechanics,24719,12,1,0,[],[]
Computational Fluid Dynamics,24718,12,0,1,[],[]
Policies of Wireless Systems and the Internet,19403,12,1,0,[],[]
"Telecommunications Technology, Policy & Management",19402,12,0,1,[[310]],[]
Executive Leadership,92871,6,1,1,[],[]
Naval Laboratory,32300,3,1,1,[],[]
Perspectives in Data Science I,36601,12,1,0,[],[]
Mathematical Techiques in Engineering,12701,12,1,0,[],[]
Health Law,92894,6,1,1,[],[]
Numerical Methods in Engineering,12703,12,1,1,[],[]
Fundamentals of Water Quality Engineering,12702,12,1,0,[],[]
Health Policy,92891,6,1,1,[],[]
Probability and Estimation Methods for Engineering Systems,12704,12,1,0,[],[]
Decision Analysis and Decision Support Systems,88623,12,0,1,[],[]
Civil Systems Investment Planning and Pricing,12706,12,1,0,[],[]
Elective Seminar: Politics of the Middle East,66335,12,0,1,[],[]
Business Plan Development II,92898,6,0,1,[],[]
Beginning Piano for Children,57729,6,1,1,[],[]
Elementary French I,82101,12,1,1,[],[]
Technology and Economic Growth,88391,9,1,0,[],[]
Intermediate German II,82222,9,0,1,[[222]],[]
Intermediate German I,82221,9,1,1,"[[82122], [82123]]",[]
Major Studio (Percussion),57720,9,1,1,[],[]
Algorithms in Nature,2317,9,1,0,"[[15210], [15251]]",[]
Major Studio (Conducting),57722,9,1,1,[],[]
Major Studio (Bagpipe),57723,9,1,1,[],[]
Major Studio (Collaborative Piano),57724,6,1,1,[],[]
Independent Study,88398,1,1,1,[],[]
Problems in Chemical Engineering,6799,1,1,1,[],[]
Intermediate Russian,82291,9,1,0,[[219]],[]
Analysis of Software Artifacts,17654,12,0,1,[],[]
Architectures for Software Systems,17655,12,1,1,[],[]
Communication for Software Engineers I,17656,3,1,0,[],[]
Principles of Biotechnology,3770,12,0,1,[],[]
Beginning Piano Test,57294,0,1,1,[],[]
Models of Software Systems,17651,12,1,0,[],[]
Methods: Deciding What to Design,17652,12,1,0,[],[]
Managing Software Development,17653,12,1,0,[],[]
Keyboard Studies (Studio),57298,3,1,1,[],[]
MITS Seminar I,17658,3,1,0,[],[]
Stagecraft II,54249,14,1,0,[[415]],[]
Statistical Methods,36202,9,0,1,"[[36201], [36207], [36220], [36247], [70207]]",[]
Technology and Economic Growth,90756,12,1,0,[],[]
Statistical Reasoning and Practice,36201,9,1,1,[],[]
Probability and Statistics for Business Applications,36207,9,1,0,"[[21112], [21120], [21121]]",[]
Elective Seminar: U.S. Foreign Relations with Asia,66333,12,0,1,[],[]
Regression Analysis,36208,9,0,1,"[[21112, 36201], [21112, 36207], [21112, 36220], [21112, 36247], [21112, 70207], [21120, 36201], [21120, 36207], [21120, 36220], [21120, 36247], [21120, 70207], [21121, 36201], [21121, 36207], [21121, 36220], [21121, 36247], [21121, 70207]]",[]
BXA Junior Portfolio Review:,52391,0,0,1,[],[]
Critical Thinking,80208,9,1,1,[],[]
Topics in Journalism:,76372,9,1,0,[[610]],[]
Independent Study in Performance,57614,3,1,1,[],[]
Independent Study in Electronic and Computer Music,57615,3,1,1,[],[]
Independent Study in Literature and Repertoire,57616,3,1,1,[],[]
Independent Study in Sound Recording,57617,3,1,1,[],[]
Study Abroad,42050,0,1,0,[],[]
Study Abroad,42051,0,0,1,[],[]
Independent Study in Theory,57612,3,1,1,[],[]
Independent Study in Research,57613,3,1,1,[],[]
Education Policy Analysis,90826,6,0,1,[],[]
Economics of Development,90827,12,0,1,[],[]
Cost Benefit Analysis,90824,12,0,1,[],[]
Innovation Management in Practice,90825,3,1,1,[],[]
Independent Study in Conducting,57618,3,1,1,[],[]
Independent Study in Opera,57619,3,1,1,[],[]
Health Care Information Security,90820,12,1,0,[],[]
Research Methods in Developmental Psychology,85320,9,1,1,[[522]],[[630]]
Special Topics Chinese,82532,3,0,0,[],[]
Special Topics Chinese,82531,3,1,0,[],[]
Computer Vision,16385,9,0,1,"[[15122, 18202], [15122, 21241, 21259]]",[]
Robot Kinematics and Dynamics,16384,12,1,0,"[[15122], [16311], [18202], [21241], [24311]]",[]
Structured Prediction for Language and other Discrete Data,11763,12,1,0,[],[]
Quantitative Cell and Molecular Biology Laboratory,2261,9,1,0,[],[]
Topics in Rhetoric: Argument,76373,9,1,1,[[610]],[]
Software Product Strategy,96790,12,0,1,[],[]
The Business of Software,96791,12,0,1,[],[]
Probabilistic Graphical Models,10708,12,0,1,[],[]
Student Taught Courses (StuCo): Sign Language Through Pop Music,98244,3,0,1,[],[]
Beginning Piano for Children,57479,6,1,1,[],[]
Linux and Open Source,95799,6,1,1,[],[]
Advanced Independent Study in Economics,73495,1,1,1,"[[21120, 21122, 21256, 73100, 73230, 73240, 73252], [21120, 21122, 21259, 73100, 73230, 73240, 73252]]",[]
Environmental Chemistry,9524,9,0,1,"[[9217], [9219]]","[[9214], [9345], [9347], [24324], [27215], [33341]]"
Statistical Machine Learning,10702,12,0,1,[],[]
Machine Learning,10701,12,1,1,[],[]
Music of the Spirit,57477,6,0,1,[],[]
Graduate Scenic Stagecraft: 3D Model Making,54846,4,0,1,[],[]
Oxidation and Inorganic Chemistry,9522,9,1,0,[[934]],[]
Effective Brainstorming and Creative Problemsolving,53734,6,0,1,[],[]
Swim-Fit,69160,3,1,1,[],[]
Career Planning for Integrated Innovators,24881,6,1,0,[],[]
Senior Project,73497,9,1,0,"[[21120, 21256, 36226, 73100, 73230, 73240], [21120, 21256, 36303, 73100, 73230, 73240], [21120, 21256, 73100, 73230, 73240, 73363], [21120, 21256, 73100, 73230, 73240, 73407], [21120, 21259, 36226, 73100, 73230, 73240], [21120, 21259, 36303, 73100, 73230, 73240], [21120, 21259, 73100, 73230, 73240, 73363], [21120, 21259, 73100, 73230, 73240, 73407]]",[]
Repertoire and Listening for Musicians,57188,1,1,0,[],[[717]]
Seminar in Low-Carbon Electric Power,47882,6,0,1,[],[]
Applied Demography,90792,12,0,1,[],[]
Solfege IV,57184,3,0,1,[[718]],[]
Advanced Solfege I,57185,3,1,0,[],[]
Advanced Solfege II,57186,3,0,1,[[718]],[]
Basic Solfege I,57180,3,1,0,[],[]
Solfege I,57181,3,1,0,[],[]
Solfege II,57182,3,0,1,"[[57180], [57181], [57185]]",[]
Solfege III,57183,3,1,0,[[718]],[]
Neural Data Analysis,42631,9,1,0,[],[]
Neural Signal Processing,42632,12,0,1,[],[]
Emergency Medical Technician,69195,6,0,1,[],[]
